filename,reason,min_best_iou,min_best_conf,gt_count,pred_count,miss_count
2184.jpg,low_conf,0.5901,0.0020,1,100,0
0260.jpg,low_conf,0.7312,0.0051,1,57,0
3663.jpg,low_conf,0.7404,0.3126,1,26,0
4239.jpg,low_conf,0.7972,0.1353,1,2,0
4148.jpg,low_conf,0.8216,0.0082,1,51,0
0425.jpg,low_conf,0.8257,0.0491,1,2,0
2356.jpg,low_conf,0.8402,0.0167,1,8,0
3039.jpg,low_conf,0.8416,0.0353,1,7,0
0661.jpg,low_conf,0.8493,0.2411,1,26,0
3517.jpg,low_conf,0.8628,0.2925,1,16,0
1152.jpg,low_conf,0.8865,0.2263,1,5,0
0472.jpg,low_conf,0.8879,0.0211,1,36,0
3558.jpg,low_conf,0.9010,0.3488,1,5,0
3386.jpg,low_conf,0.9151,0.1523,1,6,0
